"XREAENT","XREACOMP","XREASITE","XREALD","XREA001","XREA002","XREA003","XREA004","XREA005","XREA006","XREA007","XREA008","XREA009","XREA010","XREA011","XREA012","XREA013","XREA014","XREA015","XREA016","XREA017","XREA018","XREA019","XREAORGA","XREA020","XREA021","XREA022","XREA023","XREA024","XREA025","XREA026","XREA027","XREA028","XREA029","XREA030","XREA031","XREA032","XREA033","XREA034","XREA035","XREA036","XREA037","XREA038","XREA039","XREA040","XREA041","XREA042","XREA043","XREA100","XREA101","XREA102","XREA103","XREA104","XREA105","XREA106","XREA113","XREA114","XREA115","XREA116","XREA122","XREA123","XREA132","XREA133","XREAUD001","XREAUD002","XREAUD003","XREAUD004","XREAUD005","XREAUD006","XREAUD007","XREAUD008","XREAUD009","XREAUD010","XREAUD011","XREAUD012","XREAUD013","XREAUD014","XREAUD015","XREAUD016","XREAUD017","XREAUD018","XREAUD019","XREAUD020","XREAUD021","XREAUD022","XREAUD023","XREAUD024","XREAUD025","XREAUD026","XREAUD027","XREAUD028","XREAUD029","XREAUD030","XREA044","XREA045","XREA107","XREA117"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170600086","1","0","14-6月-17","101135","101135","GL","","","","","161","","","220201","MN60-1","","","","","","","","","","","","","","","14-6月-17","14-6月-17","14-6月-17","14-6月-17","14-8月-17","","002","17.000000","","","CNY","1.0000000000","1.0000000000","2000.000000","0.000000","0.000000","0.000000","2000.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2002","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400018","1","0","31-3月-17","100563","100563","CG","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","14.000000","0.000000","0.000000","0.000000","14.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2005","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400039","1","0","31-3月-17","100247","100247","ZZ","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","163.000000","0.000000","0.000000","0.000000","163.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2005","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400048","1","0","31-3月-17","100268","100268","ZZ","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","124.300000","0.000000","0.000000","0.000000","124.300000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2012","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400257","1","0","31-3月-17","100260","100260","ZZ","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","284.200000","0.000000","0.000000","0.000000","284.200000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2005","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400259","1","0","31-3月-17","101003","101003","GL","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","18150.000000","0.000000","0.000000","0.000000","18150.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2001","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400199","1","0","31-3月-17","101028","101028","GL","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","1050.000000","0.000000","0.000000","0.000000","1050.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2001","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400204","1","0","31-3月-17","101036","101036","CG","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","300.000000","0.000000","0.000000","0.000000","300.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2001","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","19","601-AP24-170400239","1","0","31-3月-17","101007","101007","GL","","","","","1","","","220201","MN60-1","","","","","","","","","","","","","","","31-3月-17","31-3月-17","31-3月-17","31-3月-17","31-3月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","11950.000000","0.000000","0.000000","0.000000","11950.000000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2001","0.000000","0.000000"
"60","MN60-1","MN60-1","00","2017","12","AP","21","601-AP20-170900215","1","0","27-9月-17","100585","100585","WL","","","","","","","","220201","MN60-1","","","","","","","","","","","","","","","27-9月-17","27-9月-17","27-9月-17","27-9月-17","28-10月-17","","001","0.000000","","","CNY","1.0000000000","1.0000000000","0.010000","0.000000","0.000000","0.000000","0.010000","0.000000","0.000000","0.000000","0.0000000000","0.000000","0.0000000000","0.000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","2013","0.000000","0.000000"
