"XRENENT","XRENDOCNO","XRENSEQ","XREN001","XREN002","XREN003","XREN004","XREN005","XREN006","XREN007","XREN008","XREN009","XREN010","XREN011","XREN012","XREN013","XREN014","XREN015","XREN016","XREN017","XREN018","XREN019","XRENORGA","XREN020","XREN021","XREN022","XREN023","XREN024","XREN025","XREN026","XREN027","XREN028","XREN029","XREN030","XREN031","XREN032","XREN033","XREN040","XREN041","XREN042","XREN043","XREN100","XREN101","XREN103","XREN104","XREN105","XREN113","XREN114","XREN115","XREN121","XREN123","XREN124","XREN125","XREN131","XREN133","XREN134","XREN135","XRENUD001","XRENUD002","XRENUD003","XRENUD004","XRENUD005","XRENUD006","XRENUD007","XRENUD008","XRENUD009","XRENUD010","XRENUD011","XRENUD012","XRENUD013","XRENUD014","XRENUD015","XRENUD016","XRENUD017","XRENUD018","XRENUD019","XRENUD020","XRENUD021","XRENUD022","XRENUD023","XRENUD024","XRENUD025","XRENUD026","XRENUD027","XRENUD028","XRENUD029","XRENUD030"
"60","601-AP94-180300006","582","2018","3","AP","01","601-AP01-171000103","2","0","2017/10/31","101437","101437","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1658.120000","0.000000","1658.120000","1658.120000","0.000000","1658.120000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","583","2018","3","AP","01","601-AP01-171000103","3","0","2017/10/31","101437","101437","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2487.180000","0.000000","2487.180000","2487.180000","0.000000","2487.180000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","584","2018","3","AP","01","601-AP01-180100116","1","0","2018/1/31","101537","101537","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","22948.720000","0.000000","22948.720000","22948.720000","0.000000","22948.720000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","585","2018","3","AP","01","601-AP01-180100116","2","0","2018/1/31","101537","101537","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2326.500000","0.000000","2326.500000","2326.500000","0.000000","2326.500000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","586","2018","3","AP","01","601-AP01-180100116","3","0","2018/1/31","101537","101537","CG","","","","B10","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","13340.170000","0.000000","13340.170000","13340.170000","0.000000","13340.170000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","587","2018","3","AP","01","601-AP01-171000202","1","0","2017/10/31","100437","100437","CG","","","","T01","359","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","3247.860000","0.000000","3247.860000","3247.860000","0.000000","3247.860000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","588","2018","3","AP","01","601-AP01-171000285","1","0","2017/10/31","101556","101556","CG","","","","F01","2529","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","3974.360000","0.000000","3974.360000","3974.360000","0.000000","3974.360000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","589","2018","3","AP","01","601-AP01-180100135","1","0","2018/1/31","100675","100675","CG","","","","B05","488","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2864.100000","0.000000","2864.100000","2864.100000","0.000000","2864.100000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","590","2018","3","AP","01","601-AP01-180100135","2","0","2018/1/31","100675","100675","CG","","","","B05","488","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","5728.210000","0.000000","5728.210000","5728.210000","0.000000","5728.210000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","591","2018","3","AP","01","601-AP01-180100136","1","0","2018/1/31","100686","100686","CG","","","","B03","488","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1709.400000","0.000000","1709.400000","1709.400000","0.000000","1709.400000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","592","2018","3","AP","01","601-AP01-180100145","1","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1361.250000","0.000000","1361.250000","1361.250000","0.000000","1361.250000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","593","2018","3","AP","01","601-AP01-180100145","2","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","7326.000000","0.000000","7326.000000","7326.000000","0.000000","7326.000000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","594","2018","3","AP","01","601-AP01-180100145","3","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","9553.070000","0.000000","9553.070000","9553.070000","0.000000","9553.070000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","595","2018","3","AP","01","601-AP01-180100145","4","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1521.670000","0.000000","1521.670000","1521.670000","0.000000","1521.670000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","596","2018","3","AP","01","601-AP01-180100145","5","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","5195.380000","0.000000","5195.380000","5195.380000","0.000000","5195.380000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","597","2018","3","AP","01","601-AP01-180100145","6","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","702.310000","0.000000","702.310000","702.310000","0.000000","702.310000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","598","2018","3","AP","01","601-AP01-180100145","7","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","235.680000","0.000000","235.680000","235.680000","0.000000","235.680000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","599","2018","3","AP","01","601-AP01-180100145","8","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","4457.120000","0.000000","4457.120000","4457.120000","0.000000","4457.120000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","600","2018","3","AP","01","601-AP01-180100145","9","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2722.500000","0.000000","2722.500000","2722.500000","0.000000","2722.500000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","601","2018","3","AP","01","601-AP01-180100145","10","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","2480.620000","0.000000","2480.620000","2480.620000","0.000000","2480.620000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","602","2018","3","AP","01","601-AP01-180100145","11","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1298.850000","0.000000","1298.850000","1298.850000","0.000000","1298.850000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","603","2018","3","AP","01","601-AP01-180100145","12","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1278.400000","0.000000","1278.400000","1278.400000","0.000000","1278.400000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","604","2018","3","AP","01","601-AP01-180100145","13","0","2018/1/31","101082","101082","CG","","","","B11","1199","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1053.460000","0.000000","1053.460000","1053.460000","0.000000","1053.460000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","605","2018","3","AP","01","601-AP01-170500146","2","0","2017/5/31","100245","100245","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1363.040000","0.000000","1363.040000","1363.040000","0.000000","1363.040000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","606","2018","3","AP","01","601-AP01-180100166","1","0","2018/1/31","100537","100537","CG","","","","B11","359","M17ZX093","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","1271.800000","0.000000","1271.800000","1271.800000","0.000000","1271.800000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","607","2018","3","AP","01","601-AP01-180100166","2","0","2018/1/31","100537","100537","CG","","","","B11","359","M17ZX080","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","158.970000","0.000000","158.970000","158.970000","0.000000","158.970000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","608","2018","3","AP","01","601-AP01-180100166","3","0","2018/1/31","100537","100537","CG","","","","B11","359","M17ZX092","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","158.970000","0.000000","158.970000","158.970000","0.000000","158.970000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","609","2018","3","AP","01","601-AP01-170700190","30","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","48.720000","0.000000","48.720000","48.720000","0.000000","48.720000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","610","2018","3","AP","01","601-AP01-170700190","31","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","129.910000","0.000000","129.910000","129.910000","0.000000","129.910000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","611","2018","3","AP","01","601-AP01-170700190","32","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","97.440000","0.000000","97.440000","97.440000","0.000000","97.440000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","612","2018","3","AP","01","601-AP01-170700190","33","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","714.510000","0.000000","714.510000","714.510000","0.000000","714.510000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","613","2018","3","AP","01","601-AP01-170700190","34","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","341.030000","0.000000","341.030000","341.030000","0.000000","341.030000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","614","2018","3","AP","01","601-AP01-170700190","35","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","97.440000","0.000000","97.440000","97.440000","0.000000","97.440000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","615","2018","3","AP","01","601-AP01-170700190","36","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","97.440000","0.000000","97.440000","97.440000","0.000000","97.440000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","616","2018","3","AP","01","601-AP01-170700190","37","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","162.390000","0.000000","162.390000","162.390000","0.000000","162.390000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","617","2018","3","AP","01","601-AP01-170700190","38","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","162.390000","0.000000","162.390000","162.390000","0.000000","162.390000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","618","2018","3","AP","01","601-AP01-170700190","39","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","64.960000","0.000000","64.960000","64.960000","0.000000","64.960000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","619","2018","3","AP","01","601-AP01-170700190","40","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","81.200000","0.000000","81.200000","81.200000","0.000000","81.200000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","620","2018","3","AP","01","601-AP01-170700190","41","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","48.720000","0.000000","48.720000","48.720000","0.000000","48.720000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","621","2018","3","AP","01","601-AP01-170700190","42","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","81.200000","0.000000","81.200000","81.200000","0.000000","81.200000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","622","2018","3","AP","01","601-AP01-170700190","43","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","186.750000","0.000000","186.750000","186.750000","0.000000","186.750000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","623","2018","3","AP","01","601-AP01-170700190","44","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","73.080000","0.000000","73.080000","73.080000","0.000000","73.080000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","624","2018","3","AP","01","601-AP01-170700190","119","0","2017/7/31","100254","100254","ZZ","","","","B07","289","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","983.080000","0.000000","983.080000","983.080000","0.000000","983.080000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","625","2018","3","AP","01","601-AP01-170700168","1","0","2017/7/31","100283","100283","CG","","","","T01","369","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","39.320000","0.000000","39.320000","39.320000","0.000000","39.320000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","601-AP94-180300006","626","2018","3","AP","01","601-AP01-170700168","2","0","2017/7/31","100283","100283","CG","","","","T01","369","","","220201","MN60-1","","","","","","","","","","","","","","","001","0.000000","22210101","1403","CNY","1.000000","385.470000","0.000000","385.470000","385.470000","0.000000","385.470000","0.0000000000","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
