"PMN01","PMN011","PMN02","PMN03","PMN04","PMN041","PMN05","PMN06","PMN07","PMN08","PMN09","PMN10","PMN11","PMN121","PMN122","PMN123","PMN13","PMN14","PMN15","PMN16","PMN18","PMN20","PMN23","PMN24","PMN25","PMN30","PMN31","PMN31T","PMN32","PMN33","PMN34","PMN35","PMN36","PMN37","PMN38","PMN40","PMN41","PMN42","PMN43","PMN431","PMN44","PMN45","PMN46","PMN50","PMN51","PMN52","PMN53","PMN54","PMN55","PMN56","PMN57","PMN58","PMN59","PMN60","PMN61","PMN62","PMN63","PMN64","PMN65","PMN66","PMN67","PMN68","PMN69","PMN70","PMN71","PMN80","PMN81","PMN82","PMN83","PMN84","PMN85","PMN86","PMN87","PMN88","PMN88T","PMN930","PMN401","PMN90","PMN94","PMN95","PMN96","PMN97","PMN98","PMN91","PMNUD01","PMNUD02","PMNUD03","PMNUD04","PMNUD05","PMNUD06","PMNUD07","PMNUD08","PMNUD09","PMNUD10","PMNUD11","PMNUD12","PMNUD13","PMNUD14","PMNUD15","PMN89","PMN72","PMN73","PMN74","PMN75","PMN76","PMN77","PMNPLANT","PMNLEGAL","PMN012","PMN919","PMN99","PMN78","PMN100","PMM01","PMM02","PMM03","PMM04","PMM05","PMM06","PMM07","PMM08","PMM09","PMM10","PMM11","PMM12","PMM13","PMM14","PMM15","PMM16","PMM17","PMM18","PMM20","PMM21","PMM22","PMM25","PMM26","PMM27","PMM28","PMM29","PMM30","PMM31","PMM32","PMM40","PMM401","PMM41","PMM42","PMM43","PMM44","PMM45","PMM46","PMM47","PMM48","PMM49","PMM50","PMM99","PMM901","PMM902","PMM903","PMM904","PMM905","PMM906","PMM907","PMM908","PMM909","PMM911","PMM912","PMM913","PMM914","PMM915","PMM916","PMMPRSW","PMMPRNO","PMMPRDT","PMMMKSG","PMMSIGN","PMMDAYS","PMMPRIT","PMMSSEQ","PMMSMAX","PMMACTI","PMMUSER","PMMGRUP","PMMMODU","PMMDATE","PMM40T","PMMUD01","PMMUD02","PMMUD03","PMMUD04","PMMUD05","PMMUD06","PMMUD07","PMMUD08","PMMUD09","PMMUD10","PMMUD11","PMMUD12","PMMUD13","PMMUD14","PMMUD15","PMM51","PMM52","PMM53","PMMCOND","PMMCONT","PMMCONU","PMMCRAT","PMMPOS","PMMPLANT","PMMLEGAL","PMMORIU","PMMORIG"
"PN01-17090073","REG","36","","9963-8000-1205-1","MVB_card","","","PCS","PCS","1.00000000","","N","1.00000000","PC2061","","20.0000","Y","Y","8","","3.000","","","","0.000000","3000.000000","3510.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","3000.000000","","","2.000","0.000","K001","2.000"," ","0.000"," ","-1.000","0.000","","","9963-8000-1205-1","1.0000","N","N","1","","","","","","","","","","","","","PCS","3.000","9000.000000","10530.000000","","","0.000000","","","2061-01"," ","2101","","","","PN02-17080014","","","","3510.000000","3511.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090073","REG","0","17/09/30","","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C099","J017","RMB","2","","18/04/24","","","","2017","9","198130.000000","0.000000","P01","1.0000000000","17.0000","1","Y","0","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","231812.100000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:03:01","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","21","","9949-8000-1220","DVR Power Supply Unit Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","43.000","","","","0.000000","1568.376068","1835.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","1568.376068","","","42.000","0.000","K001","42.000"," ","0.000"," ","-1.000","0.000","","","9949-8000-1220","1.0000","N","N","1","","","","","","","","","","","","","PCS","43.000","67440.170000","78905.000000","","","0.000000","","","9949-01"," ","2115","","","","PN02-16120082","","","","1835.000000","1836.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","18","","9949-8000-1504","DVR Controller PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","15.000","","","","0.000000","8468.376068","9908.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","8468.376068","","","14.000","0.000","K001","14.000"," ","0.000"," ","-1.000","0.000","","","9949-8000-1504","1.0000","N","N","1","","","","","","","","","","","","","PCS","15.000","127025.640000","148620.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120082","","","","9908.000000","9909.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","16","","9949-8000-1505","CPCIE to SATA Extend","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","34.000","","","","0.000000","400.000000","468.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","400.000000","","","32.000","0.000","K001","32.000"," ","0.000"," ","-2.000","0.000","","","9949-8000-1505","1.0000","N","N","1","","","","","","","","","","","","","PCS","34.000","13600.000000","15912.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120082","","","","468.000000","469.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","14","","9949-8000-4201","AVSS Backplane PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","10.000","","","","0.000000","268.376068","314.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","268.376068","","","8.000","0.000","K001","8.000"," ","0.000"," ","-2.000","0.000","","","9949-8000-4201","1.0000","N","N","1","","","","","","","","","","","","","PCS","10.000","2683.760000","3140.000000","","","0.000000","","","9949-01"," ","2115","","","","PN01-15120008","","","","314.000000","315.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","12","","9949-8000-5201","CCH MMI Interface PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","15.000","","","","0.000000","3568.376068","4175.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","3568.376068","","","4.000","0.000","K001","2.000"," ","2.000"," ","-13.000","0.000","","","9949-8000-5201","1.0000","N","N","1","","","","","","","","","","","","","PCS","15.000","53525.640000","62625.000000","","","0.000000","","","9949-01"," ","2103","","","","PN02-16120082","","","","4175.000000","4176.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","6","","9949-8000-7201","IID Video Receiver","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","260.000","","","","0.000000","2068.376068","2420.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","2068.376068","","","253.000","0.000","K001","253.000"," ","0.000"," ","-7.000","0.000","","","9949-8000-7201","1.0000","N","N","1","","","","","","","","","","","","","PCS","260.000","537777.780000","629200.000000","","","0.000000","","","9949-01"," ","2111","","","","PN02-16120088","","","","2420.000000","2421.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","4","","9949-8000-8201","EANS MMI Interface Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","40.000","","","","0.000000","818.376068","957.500000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","818.376068","","","21.000","0.000","K001","21.000"," ","0.000"," ","-19.000","0.000","","","9949-8000-8201","1.0000","N","N","1","","","","","","","","","","","","","PCS","40.000","32735.040000","38300.000000","","","0.000000","","","9949-01"," ","2109","","","","PN02-16120088","","","","957.500000","958.500000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","2","","9949-8000-9202","IDS Controller PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","75.000","","","","0.000000","1268.376068","1484.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","1268.376068","","","52.000","0.000","K001","52.000"," ","0.000"," ","-23.000","0.000","","","9949-8000-9202","1.0000","N","N","1","","","","","","","","","","","","","PCS","75.000","95128.210000","111300.000000","","","0.000000","","","9949-01"," ","2112","","","","PN02-16120088","","","","1484.000000","1485.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","1","","9949-8000-9203","SEPDS Controller PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","160.000","","","","0.000000","1268.376068","1484.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","1268.376068","","","133.000","0.000","K001","133.000"," ","0.000"," ","-27.000","0.000","","","9949-8000-9203","1.0000","N","N","1","","","","","","","","","","","","","PCS","160.000","202940.170000","237440.000000","","","0.000000","","","9949-01"," ","2113","","","","PN02-16120088","","","","1484.000000","1485.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN02-17110033","REG","2","","8008-0188","TDVR-箱体","","","PCS","PCS","1.00000000","","N","","PC2051","","20.0000","Y","Y","8","","10.000","","PQ01-17110030","1","","335.897400","393.000000","","17/12/15","17/12/15","17/12/15","17/11/28","","Y","1403","","0","","","335.897400","","","9.000","0.000"," ","9.000"," ","0.000"," ","-1.000","0.000","","","8008-0188","1.0000","N","N","1","","D0009","","","","","","","","","","","PCS","10.000","3358.970000","3930.000000","","","0.000000","","","2051-07"," ","2119","","","","","","","","338.000000","395.460000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","","","PN02-17110033","REG","0","17/11/27","","","","","V000234","001","001","8201379","D0003","D0013","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","11","7800.680000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","9126.800000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/28","17:31:18","tiptop","17/11/14","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN02-17120005","REG","1","","8010-0364","MIC设备端连接器6芯（母）","","","PCS","PCS","1.00000000","","N","1.00000000","PC0063","","20.0000","Y","Y","8","","50.000","","PQ01-17120010","1","0.000000","10.042700","11.750000","","18/01/05","18/01/05","18/01/05","17/12/06","","Y","500102","","0","","","10.042700","","","39.000","0.000","K001","39.000"," ","0.000"," ","-11.000","0.000","","","8010-0364","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","50.000","502.140000","587.500000","","","0.000000","","","0063-01"," ","2113","","","","","","","","11.000000","12.870000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN02-17120005","REG","0","17/12/05","PC0063","","","","V000467","","","8201551","D0003","D0013","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","12","502.140000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201551","D0003","8809716","18/07/02","587.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/12/06","09:34:26","tiptop","17/12/05","N","SHXK_STE","SHXK_STE","8201551","D0003"
"PN01-17090045","REG","1","","8008-0504","CLSP面板（委外处理后）","","","PCS","PCS","1.00000000","","N","1.00000000","PC0063","","10.0000","Y","Y","8","","6.000","","","","0.000000","244.444444","286.000000","","17/10/19","17/10/19","17/10/19","17/09/29","","Y","500102","","0","","","244.444444","","","1.000","0.000","K001","1.000"," ","0.000"," ","-5.000","0.000","","","8008-0504","1.0000","N","N","1","","","","","","","","","","","","","PCS","6.000","1466.670000","1716.000000","","","0.000000","","","0063-04"," ","2115","","","","PN02-17040017","","","","286.000000","334.620000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090045","REG","0","17/09/30","PC0063","","","","V000428","","","8201379","D0003","D0013","8201379","","","Y","C002","J017","RMB","6","","18/04/24","","","","2017","9","1466.670000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","1716.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/29","13:42:31","8201379","17/09/29","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN01-17090048","REG","5","","8015-0219","DVR 2  panel-Emergency Power Supply Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","42.000","","","","0.000000","39.500000","46.215000","","17/10/31","17/10/31","17/10/31","17/09/29","","Y","500102","","0","","","39.500000","","","9.000","0.000","K001","9.000"," ","0.000"," ","-33.000","0.000","","","8015-0219","1.0000","N","N","1","","","","","","","","","","","","","PCS","42.000","1659.000000","1941.030000","","","0.000000","","","9949-01"," ","2125","","","","PN02-16120018","","","","42.000000","49.140000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090048","REG","0","17/09/30","PC0025","","","","V000440","","","8201379","D0003","D0013","8201379","","","Y","C006","J017","RMB","2","","18/04/24","","","","2017","9","60562.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","70857.550000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/29","13:41:44","8201379","17/09/29","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN01-17090048","REG","3","","8015-0218","DVR 2 panel-Switch Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","57.000","","","","0.000000","49.500000","57.915000","","17/10/31","17/10/31","17/10/31","17/09/29","","Y","500102","","0","","","49.500000","","","21.000","0.000","K001","21.000"," ","0.000"," ","-36.000","0.000","","","8015-0218","1.0000","N","N","1","","","","","","","","","","","","","PCS","57.000","2821.500000","3301.160000","","","0.000000","","","9949-01"," ","2125","","","","PN02-16120018","","","","52.000000","60.840000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090048","REG","0","17/09/30","PC0025","","","","V000440","","","8201379","D0003","D0013","8201379","","","Y","C006","J017","RMB","2","","18/04/24","","","","2017","9","60562.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","70857.550000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/29","13:41:44","8201379","17/09/29","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN01-17090048","REG","2","","8015-0215","DVR 2  panel-Power Supply Unit Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","42.000","","","","0.000000","43.500000","50.895000","","17/10/31","17/10/31","17/10/31","17/09/29","","Y","500102","","0","","","43.500000","","","6.000","0.000","K001","6.000"," ","0.000"," ","-36.000","0.000","","","8015-0215","1.0000","N","N","1","","","","","","","","","","","","","PCS","42.000","1827.000000","2137.590000","","","0.000000","","","9949-01"," ","2125","","","","PN02-16120018","","","","46.000000","53.820000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090048","REG","0","17/09/30","PC0025","","","","V000440","","","8201379","D0003","D0013","8201379","","","Y","C006","J017","RMB","2","","18/04/24","","","","2017","9","60562.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","70857.550000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/29","13:41:44","8201379","17/09/29","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN02-17100019","REG","9","","9978-8000-1507","Media Player Card 2","","","PCS","PCS","1.00000000","","N","","PC2053","","10.0000","Y","Y","8","","12.000","","PQ01-17100057","9","","1500.000000","1755.000000","","17/12/29","17/12/29","17/12/29","17/11/29","","Y","1403","","0","","","1500.000000","","","10.000","0.000"," ","10.000"," ","0.000"," ","-2.000","0.000","","","9978-8000-1507","1.0000","N","N","1","","D0009","","","","","","","","","","","PCS","12.000","18000.000000","21060.000000","","","0.000000","","","2053-07"," ","2111","","","","","","","","1500.000000","1755.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","","PQ01-17070028","PN02-17100019","REG","0","17/11/01","PC2053","","","","V000082","001","001","8201344","D0003","D0009","8808226","","","Y","C099","J017","RMB","6","","18/04/23","","","","2017","11","450600.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","527202.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/13","11:33:18","tiptop","17/10/24","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN02-17100019","REG","8","","9978-8000-1506","Media Player Card","","","PCS","PCS","1.00000000","","N","","PC2053","","10.0000","Y","Y","8","","12.000","","PQ01-17100057","8","","6000.000000","7020.000000","","17/12/29","17/12/29","17/12/29","17/11/29","","Y","1403","","0","","","6000.000000","","","10.000","0.000"," ","10.000"," ","0.000"," ","-2.000","0.000","","","9978-8000-1506","1.0000","N","N","1","","D0009","","","","","","","","","","","PCS","12.000","72000.000000","84240.000000","","","0.000000","","","2053-07"," ","2111","","","","","","","","6000.000000","7020.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","","PQ01-17070028","PN02-17100019","REG","0","17/11/01","PC2053","","","","V000082","001","001","8201344","D0003","D0009","8808226","","","Y","C099","J017","RMB","6","","18/04/23","","","","2017","11","450600.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","527202.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/13","11:33:18","tiptop","17/10/24","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN02-17120016","REG","2","","8010-0489","19芯，线缆母端，金属圆形连接器","","","PCS","PCS","1.00000000","","N","1.00000000","PC0060","","10.0000","Y","Y","8","","20.000","","PQ01-17120032","2","0.000000","238.630000","279.197100","","18/01/12","18/01/12","18/01/12","17/12/18","","Y","500102","","0","","","238.630000","","","19.000","0.000","K001","19.000"," ","0.000"," ","-1.000","0.000","","","8010-0489","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","20.000","4772.600000","5583.940000","","","0.000000","","","0060-01"," ","2125","","","","","","","","238.630000","279.200000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN02-17120016","REG","0","17/12/13","PC0060","","","","V000264","001","001","8201551","D0003","D0013","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","12","13243.600000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201551","D0003","8809716","18/07/02","15495.010000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/12/18","14:22:27","tiptop","17/12/13","N","SHXK_STE","SHXK_STE","8201551","D0003"
"PN01-17100004","REG","2","","9974-8001-0382","Electronic Information Display (EID) - AC 240V","","","PCS","PCS","1.00000000","","N","1.00000000","PC0058","","10.0000","Y","Y","8","","2232.000","","","","0.000000","1709.401700","2000.000000","","17/10/31","17/10/31","17/10/31","17/10/10","","Y","500102","","0","","","1709.401700","","","144.000","0.000","K004","144.000"," ","0.000"," ","-2088.000","0.000","","","9974-8001-0382","1.0000","N","N","1","","","","","","","","","","","","","PCS","2232.000","3815384.620000","4464000.000000","","","0.000000","","","0058-01"," ","2108","","","","PN02-17010014","","","","1709.500000","2000.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17100004","REG","0","17/09/30","PC0058","","","","V000083","001","001","8201344","D0003","D0013","8201344","","","Y","C004","J017","RMB","6","","18/04/24","","","","2017","9","5059829.060000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","5920000.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/10/10","15:07:11","8201344","17/10/09","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17100004","REG","1","","9974-8000-0382","Electronic Information Display (EID) - DC110V","","","PCS","PCS","1.00000000","","N","1.00000000","PC0058","","10.0000","Y","Y","8","","728.000","","","","0.000000","1709.401700","2000.000000","","17/10/31","17/10/31","17/10/31","17/10/10","","Y","500102","","0","","","1709.401700","","","48.000","0.000","K004","48.000"," ","0.000"," ","-680.000","0.000","","","9974-8000-0382","1.0000","N","N","1","","","","","","","","","","","","","PCS","728.000","1244444.440000","1456000.000000","","","0.000000","","","0058-01"," ","2108","","","","PN02-17010014","","","","1709.500000","2000.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17100004","REG","0","17/09/30","PC0058","","","","V000083","001","001","8201344","D0003","D0013","8201344","","","Y","C004","J017","RMB","6","","18/04/24","","","","2017","9","5059829.060000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","5920000.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/10/10","15:07:11","8201344","17/10/09","N","SHXK_STE","SHXK_STE","8201344","D0003"
