"PMN01","PMN011","PMN02","PMN03","PMN04","PMN041","PMN05","PMN06","PMN07","PMN08","PMN09","PMN10","PMN11","PMN121","PMN122","PMN123","PMN13","PMN14","PMN15","PMN16","PMN18","PMN20","PMN23","PMN24","PMN25","PMN30","PMN31","PMN31T","PMN32","PMN33","PMN34","PMN35","PMN36","PMN37","PMN38","PMN40","PMN41","PMN42","PMN43","PMN431","PMN44","PMN45","PMN46","PMN50","PMN51","PMN52","PMN53","PMN54","PMN55","PMN56","PMN57","PMN58","PMN59","PMN60","PMN61","PMN62","PMN63","PMN64","PMN65","PMN66","PMN67","PMN68","PMN69","PMN70","PMN71","PMN80","PMN81","PMN82","PMN83","PMN84","PMN85","PMN86","PMN87","PMN88","PMN88T","PMN930","PMN401","PMN90","PMN94","PMN95","PMN96","PMN97","PMN98","PMN91","PMNUD01","PMNUD02","PMNUD03","PMNUD04","PMNUD05","PMNUD06","PMNUD07","PMNUD08","PMNUD09","PMNUD10","PMNUD11","PMNUD12","PMNUD13","PMNUD14","PMNUD15","PMN89","PMN72","PMN73","PMN74","PMN75","PMN76","PMN77","PMNPLANT","PMNLEGAL","PMN012","PMN919","PMN99","PMN78","PMN100"
"PN02-18060060","REG","11","","9973-8000-1301","ANM MMI Interface PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC2115","","10.0000","Y","Y","8","","4.000"," ","PQ01-18060045","11","0.000000","250.000000","290.000000","0","18/09/24","18/09/24","18/09/24","","","Y","1403","","0","","","250.000000","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-4.000","0.000"," ","0","9973-8000-1301","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","4.000","1000.000000","1160.000000","","","0.000000","","0","2115-01"," ","2102","","","","","","","","292.500000","292.500000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060060","REG","12","","9973-8000-1101","PACU Backplane card","","","PCS","PCS","1.00000000","","N","1.00000000","PC2115","","10.0000","Y","Y","8","","1.000"," ","PQ01-18060045","12","0.000000","250.000000","290.000000","0","18/09/24","18/09/24","18/09/24","","","Y","1403","","0","","","250.000000","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","9973-8000-1101","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","1.000","250.000000","290.000000","","","0.000000","","0","2115-01"," ","2109","","","","","","","","292.500000","292.500000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060060","REG","13","","9973-8000-1102","PACU Power Supply Unit PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC2115","","10.0000","Y","Y","8","","1.000"," ","PQ01-18060045","13","0.000000","1000.000000","1160.000000","0","18/09/24","18/09/24","18/09/24","","","Y","1403","","0","","","1000.000000","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","9973-8000-1102","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","1.000","1000.000000","1160.000000","","","0.000000","","0","2115-01"," ","2109","","","","","","","","1170.000000","1170.000000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060060","REG","14","","9973-8000-1103","PACU Switch interface PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC2115","","10.0000","Y","Y","8","","1.000"," ","PQ01-18060045","14","0.000000","150.000000","174.000000","0","18/09/24","18/09/24","18/09/24","","","Y","1403","","0","","","150.000000","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","9973-8000-1103","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","1.000","150.000000","174.000000","","","0.000000","","0","2115-01"," ","2109","","","","","","","","292.500000","292.500000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060060","REG","15","","9973-8000-1104","PACU Switch PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC2115","","10.0000","Y","Y","8","","1.000"," ","PQ01-18060045","15","0.000000","2850.000000","3306.000000","0","18/09/24","18/09/24","18/09/24","","","Y","1403","","0","","","2850.000000","","0","0.000","0.000","K001","0.000"," ","0.000"," ","-1.000","0.000"," ","0","9973-8000-1104","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","1.000","2850.000000","3306.000000","","","0.000000","","0","2115-01"," ","2109","","","","","","","","3217.500000","3217.500000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060013","REG","3","","8014-0020","西数1T硬盘（2.5英寸）","","","PCS","PCS","1.00000000","","N","1.00000000","PC2135","","20.0000","Y","Y","8","","10.000","","PQ01-18040035","1","0.000000","370.689700","430.000000","","18/07/31","18/07/31","18/07/31","18/06/11","","Y","500102","","0","","","370.689700","","","0.000","0.000","K001","0.000"," ","0.000"," ","-10.000","0.000","","","8014-0020","1.0000","N","N","1","","D0009","","","","","","","","","","","PCS","10.000","3706.900000","4300.000000","","","0.000000","","","2135-07"," ","2101","","","","","","","","400.000000","400.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060013","REG","4","","8014-0020","西数1T硬盘（2.5英寸）","","","PCS","PCS","1.00000000","","N","1.00000000","PC0058","","20.0000","Y","Y","8","","100.000","","PQ01-18050027","1","0.000000","370.689700","430.000000","","18/08/31","18/08/31","18/08/31","18/06/11","","Y","500102","","0","","","370.689700","","","0.000","0.000","K001","0.000"," ","0.000"," ","-100.000","0.000","","","8014-0020","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","100.000","37068.970000","43000.000000","","","0.000000","","","0058-01"," ","2113","","","","","","","","384.700000","384.700000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060013","REG","5","","8014-0020","西数1T硬盘（2.5英寸）","","","PCS","PCS","1.00000000","","N","1.00000000","PC0058","","20.0000","Y","Y","8","","100.000","","PQ01-18050027","1","0.000000","370.689700","430.000000","","18/10/31","18/10/31","18/10/31","18/06/11","","Y","500102","","0","","","370.689700","","","0.000","0.000","K001","0.000"," ","0.000"," ","-100.000","0.000","","","8014-0020","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","100.000","37068.970000","43000.000000","","","0.000000","","","0058-01"," ","2113","","","","","","","","384.700000","384.700000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060013","REG","6","","8014-0020","西数1T硬盘（2.5英寸）","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","250.000","","PQ01-18050028","6","0.000000","370.689700","430.000000","","18/12/31","18/12/31","18/12/31","18/06/11","","Y","500102","","0","","","370.689700","","","0.000","0.000","K001","0.000"," ","0.000"," ","-250.000","0.000","","","8014-0020","1.0000","N","N","1","","D0010","","","","","","","","","","","PCS","250.000","92672.410000","107500.000000","","","0.000000","","","9949-01"," ","2114","","","","","","","","384.700000","384.700000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060014","REG","1","","8010-0213","CONEC M12 连接器 Male","","","PCS","PCS","1.00000000","","N","1.00000000","PC0071","","20.0000","Y","Y","8","","2000.000","","PQ01-18010075","16","0.000000","50.431000","58.500000","","18/08/31","18/08/31","18/08/31","18/06/12","","Y","500102","","0","","","50.431000","","","0.000","0.000","K001","0.000"," ","0.000"," ","-2000.000","0.000","","","8010-0213","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","2000.000","100862.070000","117000.000000","","","0.000000","","","0071-01"," ","2116","","","","","","","","50.500000","50.500000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060014","REG","2","","8010-0213","CONEC M12 连接器 Male","","","PCS","PCS","1.00000000","","N","1.00000000","PC0071","","20.0000","Y","Y","8","","1800.000","","PQ01-18010075","16","0.000000","50.431000","58.500000","","18/10/31","18/10/31","18/10/31","18/06/12","","Y","500102","","0","","","50.431000","","","0.000","0.000","K001","0.000"," ","0.000"," ","-1800.000","0.000","","","8010-0213","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","1800.000","90775.860000","105300.000000","","","0.000000","","","0071-01"," ","2116","","","","","","","","50.500000","50.500000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
"PN02-18060014","REG","3","","8010-0213","CONEC M12 连接器 Male","","","PCS","PCS","1.00000000","","N","1.00000000","PC2138","","20.0000","Y","Y","8","","388.000","","PQ01-18050018","1","0.000000","50.431000","58.500000","","18/10/31","18/10/31","18/10/31","18/06/12","","Y","500102","","0","","","50.431000","","","0.000","0.000","K001","0.000"," ","0.000"," ","-388.000","0.000","","","8010-0213","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","388.000","19567.240000","22698.000000","","","0.000000","","","2138-01"," ","2101","","","","","","","","50.500000","50.500000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ",""
